date,handedness,age,participant,TrialNumber,correct_response,pic,type,ran,order,response_key,rt,response_correct
2016-09-04_1800,right,30,001,1,m,0041.jpg,human,1.0,0.0,x,0.527758,False
2016-09-04_1800,right,30,001,2,x,0085.jpg,scene,1.0,1.0,x,0.950084,True
2016-09-04_1800,right,30,001,3,x,0063.jpg,scene,1.0,2.0,x,0.712112,True
2016-09-04_1800,right,30,001,4,x,0076.jpg,scene,1.0,3.0,x,0.542783,True
2016-09-04_1800,right,30,001,5,x,0038.jpg,scene,1.0,4.0,x,0.627641,True
2016-09-04_1800,right,30,001,6,m,0064.jpg,human,1.0,5.0,x,0.780169,False
2016-09-04_1800,right,30,001,7,m,0035.jpg,human,1.0,6.0,m,0.678279,True
2016-09-04_1800,right,30,001,8,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,9,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,10,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,11,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,12,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,13,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,14,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,15,m,0064.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,16,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,17,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,18,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,19,x,0085.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,20,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,21,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,22,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,23,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,24,x,0085.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,25,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,26,m,0064.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,27,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,28,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,29,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,30,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,31,x,0085.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,32,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,33,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,34,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,35,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,36,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,37,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,38,m,0064.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,39,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,40,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,41,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,42,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,43,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,44,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,45,x,0085.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,46,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,47,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,48,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1800,right,30,001,49,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1800,right,30,001,50,m,0064.jpg,human,0.0,--,--,--,--
