date,handedness,age,participant,TrialNumber,correct_response,pic,type,ran,order,response_key,rt,response_correct
2016-09-04_1804,right,30,001,1,m,0064.jpg,human,1.0,0.0,x,1.07588,False
2016-09-04_1804,right,30,001,2,x,0076.jpg,scene,1.0,1.0,x,0.814387,True
2016-09-04_1804,right,30,001,3,x,0063.jpg,scene,1.0,2.0,x,0.763223,True
2016-09-04_1804,right,30,001,4,x,0066.jpg,scene,1.0,3.0,x,0.678432,True
2016-09-04_1804,right,30,001,5,x,0085.jpg,scene,1.0,4.0,x,0.678432,True
2016-09-04_1804,right,30,001,6,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,7,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,8,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,9,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,10,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,11,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,12,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,13,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,14,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,15,m,0064.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,16,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,17,x,0085.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,18,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,19,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,20,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,21,m,0064.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,22,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,23,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,24,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,25,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,26,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,27,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,28,x,0085.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,29,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,30,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,31,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,32,m,0064.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,33,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,34,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,35,x,0085.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,36,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,37,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,38,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,39,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,40,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,41,m,0041.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,42,x,0076.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,43,x,0063.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,44,x,0038.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,45,m,0035.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,46,m,0034.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,47,m,0055.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,48,m,0064.jpg,human,0.0,--,--,--,--
2016-09-04_1804,right,30,001,49,x,0066.jpg,scene,0.0,--,--,--,--
2016-09-04_1804,right,30,001,50,x,0085.jpg,scene,0.0,--,--,--,--
